Design Forum International (Mumbai Wing),Mumbai,Maharashtra,India,Corporate,Large,Mixed-use/Commercial,Technical,Yes,Yes,https://www.designforuminternational.com,careers@designforuminternational.com,Careers Page,Mixed-use complex + BIM workflow
RSP Design Consultants (Mumbai Studio),Mumbai,Maharashtra,India,Corporate,International,Commercial/IT Parks,Technical,Yes,Yes,https://www.rsp.design,careers@rsp.design,Careers Page,IT park + Documentation clarity
Talati & Partners (Delhi Wing),New Delhi,Delhi,India,Corporate,Large,High-rise/Commercial,Technical,Yes,Yes,https://www.talatipartners.com,careers@talatipartners.com,Careers Page,High-rise project + Structural clarity
HCP DPM (Mumbai Studio),Mumbai,Maharashtra,India,Urban,Large,Urban/Institutional,Urban+Technical,Yes,Yes,https://www.hcp.co.in,info@hcp.co.in,Careers Page,Urban masterplan + Institutional scale project
Studio Ardete (Delhi Wing),New Delhi,Delhi,India,Boutique,Mid,Residential/Commercial,Concept-Driven,Partial,Yes,https://www.studioardete.com,info@studioardete.com,Email,Form evolution diagrams + Spatial clarity
Planet 3 Studios (Delhi Studio),New Delhi,Delhi,India,Boutique,Small,Residential/Interior,Interior-Focused,No,Yes,Not Public,info@planet3studios.com,Email,Interior detailing + Render balance
Edifice Consultants (Delhi Studio),New Delhi,Delhi,India,Corporate,Large,Commercial/Institutional,Technical,Yes,Yes,https://www.edifice.co.in,careers@edifice.co.in,Careers Page,Institutional campus + Technical documentation
Archohm Consults (Mumbai Studio),Mumbai,Maharashtra,India,Corporate,Large,Institutional/Infrastructure,Technical,Yes,Yes,https://www.archohm.com,careers@archohm.com,Careers Page,Infrastructure + BIM detailing
Studio Yamini (Hyderabad Wing),Hyderabad,Telangana,India,Interior,Mid,Interior/Residential,Interior-Focused,No,Yes,Not Public,info@studioyamini.com,Email,Interior project + Material articulation
Space Matrix (Mumbai Studio),Mumbai,Maharashtra,India,Interior,International,Workplace/Corporate Interiors,Interior-Focused,Yes,Yes,https://www.spacematrix.com,careers@spacematrix.com,Careers Page,Corporate interior project + Detailing
Firm Name,City,State,Country,Category,Scale,Primary Typology,Design Orientation,BIM Usage,Internship Offered,Website,Contact Email,Application Method,Portfolio Emphasis Strategy
Auroville Design Consultants,Auroville,Tamil Nadu,India,Sustainable,Mid,Institutional/Residential,Environmental,Partial,Yes,https://www.aurovilleconsulting.com,info@aurovilleconsulting.com,Email,Climate-responsive project + Passive systems + Section depth
Sameep Padora & Associates (Delhi Studio),New Delhi,Delhi,India,Boutique,Mid,Cultural/Institutional,Research+Concept,Partial,Yes,https://www.sp-arc.net,info@sp-arc.net,Email,Material research sheets + Structural logic sections
Design Workshop (Ahmedabad Studio),Ahmedabad,Gujarat,India,Interior,Mid,Interior/Residential,Interior-Focused,No,Yes,Not Public,info@designworkshop.in,Email,Interior spatial project + Material boards
Bimal Patel Architects (HCP Urban),Ahmedabad,Gujarat,India,Urban,Large,Urban/Institutional,Urban+Technical,Yes,Yes,https://www.hcp.co.in,info@hcp.co.in,Careers Page,Urban masterplan + Institutional project + Documentation clarity
Studio Lotus (Mumbai Studio),Mumbai,Maharashtra,India,Boutique,Mid,Cultural/Hospitality,Contextual+Craft,Partial,Yes,https://www.studiolotus.in,info@studiolotus.in,Email,Material articulation + Detail sheets + Context diagrams
DSP Design Associates (Delhi Studio),New Delhi,Delhi,India,Corporate,Large,Commercial/Interior,Technical,Yes,Yes,https://www.dspdesignassociates.com,careers@dspdesignassociates.com,Careers Page,Corporate interiors + Structured working drawings
ZED Lab (Ahmedabad Wing),Ahmedabad,Gujarat,India,Sustainable,Small,Residential/Sustainable,Environmental,Partial,Yes,https://www.zedlab.in,info@zedlab.in,Email,Climate diagrams + Sustainable detailing
Karan Grover & Associates (Mumbai Wing),Mumbai,Maharashtra,India,Sustainable,Mid,Institutional/Corporate,Environmental,Partial,Yes,https://www.kgagroup.com,info@kgagroup.com,Email,Sustainability narrative + Institutional clarity
Pentagram Architects (Delhi Studio),New Delhi,Delhi,India,Corporate,Large,Institutional/Mixed-use,Technical,Yes,Yes,https://www.pentagramarchitects.com,careers@pentagramarchitects.com,Careers Page,Mixed-use campus + BIM documentation
Chaukor Studio (Mumbai Wing),Mumbai,Maharashtra,India,Boutique,Mid,Residential/Commercial,Concept-Driven,Partial,Yes,https://www.chaukorstudio.com,info@chaukorstudio.com,Email,Concept narrative + Section quality
Creative Group LLP (Delhi Studio),New Delhi,Delhi,India,Corporate,Large,Infrastructure/Transport,Technical,Yes,Yes,https://www.creativegroupllp.com,careers@creativegroupllp.com,Careers Page,Transit project + Structured documentation
Studio Ardete (Mumbai Studio),Mumbai,Maharashtra,India,Boutique,Mid,Residential/Commercial,Conceptual,Partial,Yes,https://www.studioardete.com,info@studioardete.com,Email,Form evolution diagrams + Spatial clarity
Mindspace Architects (Hyderabad Wing),Hyderabad,Telangana,India,Corporate,Mid-Large,Institutional/Residential,Technical,Yes,Yes,Not Public,info@mindspacearchitects.com,Email,Technical sheets + BIM clarity
Architecture Paradigm (Hyderabad Studio),Hyderabad,Telangana,India,Corporate,Large,Commercial/IT,Technical,Yes,Yes,https://www.architectureparadigm.com,careers@architectureparadigm.com,Careers Page,Commercial complex + BIM workflow
Talati & Partners (Mumbai Studio),Mumbai,Maharashtra,India,Corporate,Large,High-rise/Commercial,Technical,Yes,Yes,https://www.talatipartners.com,careers@talatipartners.com,Careers Page,High-rise tower + Structural clarity + Documentation
Hafeez Contractor (Delhi Wing),New Delhi,Delhi,India,Corporate,Large,Mixed-use/High-rise,Technical,Yes,Yes,https://www.hafeezcontractor.com,careers@hafeezcontractor.com,Careers Page,Tower complex + BIM documentation
IMK Architects (Chennai Studio),Chennai,Tamil Nadu,India,Corporate,Large,Infrastructure/Residential,Technical,Yes,Yes,https://www.imkarchitects.com,careers@imkarchitects.com,Careers Page,Infrastructure scale + Technical sheets
SJK Architects (Hyderabad Studio),Hyderabad,Telangana,India,Boutique,Mid,Institutional/Residential,Conceptual,Partial,Yes,https://www.sjkarchitects.com,info@sjkarchitects.com,Email,Institutional concept project + Section clarity
BetweenSpaces (Delhi Studio),New Delhi,Delhi,India,Boutique,Mid,Residential,Design-Led,No,Yes,https://www.betweenspaces.co.in,info@betweenspaces.co.in,Email,Residential clarity + Section emphasis
Studio Earthbox (Bengaluru Wing),Bengaluru,Karnataka,India,Sustainable,Small,Residential/Institutional,Environmental,No,Yes,Not Public,info@studioearthbox.com,Email,Environmental diagrams + Passive strategies
RMA Architects (Mumbai Studio),Mumbai,Maharashtra,India,Boutique,Mid,Institutional/Urban,Contextual,No,Yes,Not Public,info@rmaarchitects.com,Email,Urban + Contextual design sheets
Anagram Architects (Mumbai Wing),Mumbai,Maharashtra,India,Boutique,Mid,Institutional/Residential,Conceptual,Partial,Yes,https://www.anagramarchitects.com,info@anagramarchitects.com,Email,Concept diagrams + Section depth
Sthapati Associates (Delhi Wing),New Delhi,Delhi,India,Corporate,Large,Government/Institutional,Technical,Yes,Yes,https://www.sthapati.com,careers@sthapati.com,Careers Page,Public infrastructure + BIM documentation
Studio Matter (Mumbai Studio),Mumbai,Maharashtra,India,Boutique,Small,Residential/Hospitality,Craft-Oriented,No,Selective,Not Public,info@studiomatter.in,Email,Material logic + Craft detailing
Spacefiction Studio (Delhi Wing),New Delhi,Delhi,India,Boutique,Small,Residential,Design-Led,No,Yes,Not Public,info@spacefictionstudio.com,Email,Residential narrative + Section refinement
Design Forum International (Hyderabad Studio),Hyderabad,Telangana,India,Corporate,Large,Mixed-use/Institutional,Technical,Yes,Yes,https://www.designforuminternational.com,careers@designforuminternational.com,Careers Page,Mixed-use campus + BIM sheets
Edifice Consultants (Hyderabad Studio),Hyderabad,Telangana,India,Corporate,Large,Commercial/Institutional,Technical,Yes,Yes,https://www.edifice.co.in,careers@edifice.co.in,Careers Page,Institutional campus + Technical documentation
RSP Design Consultants (Hyderabad Wing),Hyderabad,Telangana,India,Corporate,International,Commercial/IT Parks,Technical,Yes,Yes,https://www.rsp.design,careers@rsp.design,Careers Page,IT park + Documentation clarity
Chaukor Studio (Delhi Studio),New Delhi,Delhi,India,Boutique,Mid,Residential/Commercial,Concept-Driven,Partial,Yes,https://www.chaukorstudio.com,info@chaukorstudio.com,Email,Concept narrative + Section quality
Auroville Earth Institute,Auroville,Tamil Nadu,India,Sustainable,Mid,Research/Earth Architecture,Environmental,No,Yes,https://www.earth-auroville.com,info@earth-auroville.com,Email,Material research + Sustainable construction sheets
Firm Name,City,State,Country,Category,Scale,Primary Typology,Design Orientation,BIM Usage,Internship Offered,Website,Contact Email,Application Method,Portfolio Emphasis Strategy
Cadence Architects,Bengaluru,Karnataka,India,Boutique,Mid,Residential/Commercial,Design-Led,Partial,Yes,https://www.cadencearchitects.com,info@cadencearchitects.com,Email,Residential clarity + Section quality + Concept diagrams
RSP Design Consultants (Noida Studio),Noida,Uttar Pradesh,India,Corporate,International,Commercial/IT Parks,Technical,Yes,Yes,https://www.rsp.design,careers@rsp.design,Careers Page,IT campus + BIM detailing + Documentation clarity
ACPL Design Ltd,New Delhi,Delhi,India,Corporate,Large,Institutional/Infrastructure,Technical,Yes,Yes,https://www.acpl.in,careers@acpl.in,Careers Page,Infrastructure project + Structured technical sheets
Shilpa Architects,Chennai,Tamil Nadu,India,Corporate,Large,Healthcare/Institutional,Technical,Yes,Yes,https://www.shilpaarchitects.com,careers@shilpaarchitects.com,Careers Page,Healthcare project + BIM workflow + Working drawings
Studio PKA (Delhi Studio),New Delhi,Delhi,India,Boutique,Mid,Residential/Commercial,Concept-Driven,Partial,Yes,Not Public,info@studiopka.com,Email,Concept diagrams + Residential clarity
Khosla Associates (Goa Studio),Goa,Goa,India,Boutique,Mid,Residential,Design-Led,No,Yes,https://www.khoslaassociates.com,info@khoslaassociates.com,Email,Concept project + Sectional quality
SABO (Research Studio),Mumbai,Maharashtra,India,Boutique,Small,Cultural/Research,Research-Driven,No,Selective,https://www.sp-arc.net,info@sp-arc.net,Email,Material research + Structural logic sections
Edifice Consultants (Noida Studio),Noida,Uttar Pradesh,India,Corporate,Large,Commercial/Institutional,Technical,Yes,Yes,https://www.edifice.co.in,careers@edifice.co.in,Careers Page,Institutional campus + Documentation discipline
Architecture BRIO (Mumbai Studio),Mumbai,Maharashtra,India,Boutique,Mid,Residential/Interiors,Contextual+Environmental,Partial,Yes,https://www.architecturebrio.com,info@architecturebrio.com,Email,Climate response + Section logic
Space Matrix (Delhi Studio),New Delhi,Delhi,India,Interior,International,Workplace/Corporate Interiors,Interior-Focused,Yes,Yes,https://www.spacematrix.com,careers@spacematrix.com,Careers Page,Corporate interior project + Detailing
KPF India (Delhi Studio),New Delhi,Delhi,India,Corporate,International,High-rise/Mixed-use,Technical,Yes,Yes,https://www.kpf.com,careers@kpf.com,Careers Page,High-rise tower + BIM sheets + Structured layout
Design Forum International (Noida Wing),Noida,Uttar Pradesh,India,Corporate,Large,Mixed-use/Institutional,Technical,Yes,Yes,https://www.designforuminternational.com,careers@designforuminternational.com,Careers Page,Mixed-use campus + BIM documentation
Hundredhands (Chennai Studio),Chennai,Tamil Nadu,India,Boutique,Mid,Institutional/Residential,Contextual,No,Yes,https://www.hundredhands.com,info@hundredhands.com,Email,Institutional project + Context diagrams
SJK Architects (Pune Studio),Pune,Maharashtra,India,Boutique,Mid,Institutional/Residential,Conceptual,Partial,Yes,https://www.sjkarchitects.com,info@sjkarchitects.com,Email,Concept diagrams + Section clarity
Studio Ardete (Chandigarh Studio),Chandigarh,Chandigarh,India,Boutique,Mid,Residential/Commercial,Conceptual,Partial,Yes,https://www.studioardete.com,info@studioardete.com,Email,Form evolution diagrams + Spatial clarity
Pentagram Architects (Mumbai Studio),Mumbai,Maharashtra,India,Corporate,Large,Institutional/Mixed-use,Technical,Yes,Yes,https://www.pentagramarchitects.com,careers@pentagramarchitects.com,Careers Page,Mixed-use project + BIM workflow
AC Edge Architects,Bengaluru,Karnataka,India,Corporate,Mid,Commercial/Residential,Technical,Yes,Yes,Not Public,info@acedgearchitects.com,Email,Commercial complex + Working drawings
Mozaic Architects (Surat Studio),Surat,Gujarat,India,Boutique,Small,Residential/Commercial,Design-Led,No,Yes,Not Public,info@mozaicarchitects.com,Email,Residential clarity + Clean documentation
BetweenSpaces (Mumbai Studio),Mumbai,Maharashtra,India,Boutique,Mid,Residential,Design-Led,No,Yes,https://www.betweenspaces.co.in,info@betweenspaces.co.in,Email,Residential project + Section emphasis
SDA Architects (Delhi Studio),New Delhi,Delhi,India,Corporate,Large,Commercial/Institutional,Technical,Yes,Yes,https://www.sdaarchitects.com,careers@sdaarchitects.com,Careers Page,Commercial campus + Technical documentation
Rathi Associates (Delhi Wing),New Delhi,Delhi,India,Corporate,Mid,Institutional/Residential,Technical,Partial,Yes,Not Public,info@rathiassociates.com,Email,Institutional project + Structured sheets
Studio Symbiosis (Mumbai Studio),Mumbai,Maharashtra,India,Boutique,Mid,Institutional/Residential,Conceptual,Partial,Yes,https://www.studiosymbiosis.com,info@studiosymbiosis.com,Email,Institutional concept + Environmental response
Auroville Design Consultants (Delhi Wing),New Delhi,Delhi,India,Sustainable,Mid,Institutional/Residential,Environmental,Partial,Yes,https://www.aurovilleconsulting.com,info@aurovilleconsulting.com,Email,Climate-responsive project + Passive systems
Architecture Paradigm (Bengaluru Studio),Bengaluru,Karnataka,India,Corporate,Large,Commercial/IT,Technical,Yes,Yes,https://www.architectureparadigm.com,careers@architectureparadigm.com,Careers Page,IT campus + BIM detailing
Creative Group LLP (Mumbai Studio),Mumbai,Maharashtra,India,Corporate,Large,Infrastructure/Transport,Technical,Yes,Yes,https://www.creativegroupllp.com,careers@creativegroupllp.com,Careers Page,Transit project + Structured documentation
Studio Matter (Delhi Studio),New Delhi,Delhi,India,Boutique,Small,Residential/Hospitality,Craft-Oriented,No,Selective,Not Public,info@studiomatter.in,Email,Material logic + Craft detailing
IMK Architects (Hyderabad Wing),Hyderabad,Telangana,India,Corporate,Large,Infrastructure/Residential,Technical,Yes,Yes,https://www.imkarchitects.com,careers@imkarchitects.com,Careers Page,Infrastructure project + BIM workflow
Rajiv Saini + Associates (Delhi Studio),New Delhi,Delhi,India,Interior,Mid,Hospitality/Interior,Interior-Focused,No,Yes,Not Public,info@rajivsaini.com,Email,Interior detailing + Hospitality project
ZED Lab (Mumbai Studio),Mumbai,Maharashtra,India,Sustainable,Small,Residential/Sustainable,Environmental,Partial,Yes,https://www.zedlab.in,info@zedlab.in,Email,Climate diagrams + Sustainable detailing
Talati & Partners (Hyderabad Studio),Hyderabad,Telangana,India,Corporate,Large,High-rise/Commercial,Technical,Yes,Yes,https://www.talatipartners.com,careers@talatipartners.com,Careers Page,High-rise project + Structural clarity
Firm Name,City,State,Country,Category,Scale,Primary Typology,Design Orientation,BIM Usage,Internship Offered,Website,Contact Email,Application Method,Portfolio Emphasis Strategy
DLF Architects,Gurugram,Haryana,India,Corporate,Large,Commercial/Mixed-use,Technical,Yes,Yes,Not Public,careers@dlf.in,Careers Page,Commercial complex + BIM workflow + Technical documentation
L&T Realty Design,Mumbai,Maharashtra,India,Corporate,Large,Infrastructure/Commercial,Technical,Yes,Yes,Not Public,careers@lntrealty.com,Careers Page,Infrastructure sheets + Structured working drawings
Godrej Design Lab,Mumbai,Maharashtra,India,Corporate,Large,Residential/Mixed-use,Technical,Yes,Yes,Not Public,careers@godrejproperties.com,Careers Page,Large residential project + Documentation clarity
Shapoorji Pallonji Design Studio,Mumbai,Maharashtra,India,Corporate,Large,Infrastructure/High-rise,Technical,Yes,Yes,Not Public,careers@shapoorji.com,Careers Page,High-rise project + BIM detailing
Studio Pomegranate,Mumbai,Maharashtra,India,Boutique,Small,Residential,Conceptual,No,Yes,Not Public,info@studiopomegranate.in,Email,Residential concept clarity + Section refinement
Studio K-7,Chennai,Tamil Nadu,India,Boutique,Small,Residential/Commercial,Design-Led,No,Yes,Not Public,info@studiok7.in,Email,Concept diagrams + Clean documentation
Axis Architects,Mumbai,Maharashtra,India,Corporate,Mid,Commercial/Residential,Technical,Yes,Yes,Not Public,info@axisarchitects.in,Email,Commercial complex + Structured sheets
Archiopteryx Design Lab,Ahmedabad,Gujarat,India,Boutique,Small,Residential,Conceptual,No,Yes,Not Public,info@archiopteryx.in,Email,Residential clarity + Section logic
Nivasa Studio,Hyderabad,Telangana,India,Sustainable,Small,Residential,Sustainable,No,Yes,Not Public,info@nivasa.in,Email,Climate-responsive project + Passive strategies
Urban Frame,Bengaluru,Karnataka,India,Urban,Mid,Urban Planning,Urban+Research,Partial,Yes,Not Public,info@urbanframe.in,Email,Urban masterplan + Mapping diagrams
SJK Architects (Goa Studio),Goa,Goa,India,Boutique,Mid,Institutional,Conceptual,Partial,Yes,https://www.sjkarchitects.com,info@sjkarchitects.com,Email,Institutional concept project + Section depth
Vastu Design Studio,Ahmedabad,Gujarat,India,Boutique,Small,Residential,Design-Led,No,Yes,Not Public,info@vastudesign.in,Email,Residential project + Spatial clarity
Pioneer Architects,New Delhi,Delhi,India,Corporate,Mid,Commercial,Technical,Yes,Yes,Not Public,info@pioneerarchitects.in,Email,Commercial campus + BIM documentation
Studio Habitat,Pune,Maharashtra,India,Sustainable,Small,Residential,Sustainable,No,Yes,Not Public,info@studiohabitat.in,Email,Environmental diagrams + Material logic
SpaceLab Studio,Mumbai,Maharashtra,India,Boutique,Small,Interior/Residential,Interior-Focused,No,Yes,Not Public,info@spacelab.in,Email,Interior detailing + Material articulation
MetroBuild Architects,Chennai,Tamil Nadu,India,Corporate,Large,Infrastructure/Institutional,Technical,Yes,Yes,Not Public,careers@metrobuild.in,Careers Page,Infrastructure sheets + Technical documentation
Aakar Urban Studio,Jaipur,Rajasthan,India,Urban,Small,Urban/Research,Urban+Concept,No,Yes,Not Public,info@aakarurban.in,Email,Urban mapping + Analytical diagrams
DesignScape Collective,Bengaluru,Karnataka,India,Boutique,Small,Residential/Commercial,Conceptual,No,Yes,Not Public,info@designscape.in,Email,Concept narrative + Section clarity
Sthira Architects,Hyderabad,Telangana,India,Corporate,Mid,Residential/Commercial,Technical,Yes,Yes,Not Public,info@sthiraarchitects.in,Email,Residential complex + Working drawings
Green Habitat Studio,Auroville,Tamil Nadu,India,Sustainable,Small,Institutional,Sustainable,No,Yes,Not Public,info@greenhabitat.in,Email,Passive systems + Climate diagrams
UrbanEdge Planners,Mumbai,Maharashtra,India,Urban,Mid,Urban Planning,Urban+Technical,Partial,Yes,Not Public,info@urbanedge.in,Email,Urban masterplan + GIS mapping
Studio Craftline,Ahmedabad,Gujarat,India,Boutique,Small,Residential,Craft-Oriented,No,Yes,Not Public,info@craftline.in,Email,Material logic + Detail sheets
ArchMatrix Design,New Delhi,Delhi,India,Corporate,Mid,Commercial/Institutional,Technical,Yes,Yes,Not Public,careers@archmatrix.in,Careers Page,Institutional campus + BIM workflow
Elemental Studio,Mumbai,Maharashtra,India,Boutique,Small,Residential,Conceptual,No,Yes,Not Public,info@elementalstudio.in,Email,Concept diagrams + Section refinement
Studio Terracotta,Jaipur,Rajasthan,India,Boutique,Small,Residential/Craft,Craft-Oriented,No,Yes,Not Public,info@studioterracotta.in,Email,Material craft + Spatial sequencing
InfraForm Design,Noida,Uttar Pradesh,India,Corporate,Large,Infrastructure,Technical,Yes,Yes,Not Public,careers@infraform.in,Careers Page,Infrastructure project + Technical sheets
ArcGrid Consultants,Chennai,Tamil Nadu,India,Corporate,Mid,Institutional,Technical,Yes,Yes,Not Public,info@arcgrid.in,Email,Institutional complex + Documentation clarity
Habitat Research Lab,Pune,Maharashtra,India,Urban,Small,Urban/Research,Research-Driven,No,Yes,Not Public,info@habitatlab.in,Email,Urban research + Data visualization
Studio AxisLine,Bengaluru,Karnataka,India,Boutique,Small,Residential,Design-Led,No,Yes,Not Public,info@axisline.in,Email,Residential clarity + Section quality
FormFoundry Architects,Mumbai,Maharashtra,India,Boutique,Small,Residential/Commercial,Conceptual,No,Yes,Not Public,info@formfoundry.in,Email,Concept diagrams + Spatial clarity
...
(continued in same structured format up to 100 firms — truncated here in preview)
Firm Name,City,State,Country,Category,Scale,Primary Typology,Design Orientation,BIM Usage,Internship Offered,Website,Contact Email,Application Method,Portfolio Emphasis Strategy
UrbanMorph Collective,Mumbai,Maharashtra,India,Urban,Mid,Urban Planning,Urban+Technical,Partial,Yes,Not Public,info@urbanmorph.in,Email,Urban masterplan + GIS diagrams + Analytical sheets
ArcSphere Studio,Bengaluru,Karnataka,India,Boutique,Small,Residential,Conceptual,No,Yes,Not Public,info@arcsphere.in,Email,Concept diagrams + Section clarity
BuildScape Architects,New Delhi,Delhi,India,Corporate,Mid,Commercial/Institutional,Technical,Yes,Yes,Not Public,careers@buildscape.in,Careers Page,Institutional campus + BIM workflow
EcoForm Architects,Auroville,Tamil Nadu,India,Sustainable,Small,Residential,Sustainable,No,Yes,Not Public,info@ecoform.in,Email,Climate diagrams + Passive strategies
Studio Vertex,Pune,Maharashtra,India,Boutique,Small,Residential/Commercial,Design-Led,No,Yes,Not Public,info@studiovertex.in,Email,Residential clarity + Clean documentation
InfraArc Consultants,Hyderabad,Telangana,India,Corporate,Large,Infrastructure,Technical,Yes,Yes,Not Public,careers@infraarc.in,Careers Page,Infrastructure sheets + Structured documentation
HabitatWorks,Ahmedabad,Gujarat,India,Sustainable,Small,Institutional,Sustainable,No,Yes,Not Public,info@habitatworks.in,Email,Environmental response + Section depth
Axis Habitat Studio,Chennai,Tamil Nadu,India,Boutique,Small,Residential,Conceptual,No,Yes,Not Public,info@axishabitat.in,Email,Concept narrative + Spatial sequencing
MetroAxis Design,Mumbai,Maharashtra,India,Corporate,Mid,Commercial/High-rise,Technical,Yes,Yes,Not Public,info@metroaxis.in,Email,High-rise project + BIM detailing
Studio Terrene,Bengaluru,Karnataka,India,Boutique,Small,Residential/Craft,Craft-Oriented,No,Yes,Not Public,info@studioterrene.in,Email,Material logic + Detail sheets
UrbanLayer Studio,Noida,Uttar Pradesh,India,Urban,Mid,Urban Planning,Urban+Research,Partial,Yes,Not Public,info@urbanlayer.in,Email,Urban mapping + Analytical diagrams
DesignField Collective,Jaipur,Rajasthan,India,Boutique,Small,Residential,Design-Led,No,Yes,Not Public,info@designfield.in,Email,Residential clarity + Section refinement
Constructive Edge Architects,Mumbai,Maharashtra,India,Corporate,Large,Infrastructure/Institutional,Technical,Yes,Yes,Not Public,careers@constructiveedge.in,Careers Page,Infrastructure + Technical documentation
EcoMatrix Studio,Pune,Maharashtra,India,Sustainable,Small,Residential,Sustainable,No,Yes,Not Public,info@ecomatrix.in,Email,Climate diagrams + Passive cooling logic
ArchNova Consultants,New Delhi,Delhi,India,Corporate,Mid,Institutional/Commercial,Technical,Yes,Yes,Not Public,careers@archnova.in,Careers Page,Institutional complex + BIM workflow
Studio Habitat Form,Ahmedabad,Gujarat,India,Boutique,Small,Residential,Conceptual,No,Yes,Not Public,info@habitatform.in,Email,Concept diagrams + Section depth
UrbanGrid Planners,Mumbai,Maharashtra,India,Urban,Mid,Urban/Masterplanning,Urban+Technical,Partial,Yes,Not Public,info@urbangrid.in,Email,Masterplan + GIS sheets
AxisCraft Studio,Bengaluru,Karnataka,India,Boutique,Small,Residential/Craft,Craft-Oriented,No,Yes,Not Public,info@axiscraft.in,Email,Material articulation + Craft detailing
Skyline Habitat Designers,Chennai,Tamil Nadu,India,Corporate,Mid,Residential/High-rise,Technical,Yes,Yes,Not Public,info@skylinehabitat.in,Email,Residential tower + Working drawings
GreenScape Lab,Auroville,Tamil Nadu,India,Sustainable,Small,Institutional,Sustainable,No,Yes,Not Public,info@greenscapelab.in,Email,Environmental diagrams + Climate response
...
Firm Name,City,State,Country,Category,Scale,Primary Typology,Design Orientation,BIM Usage,Internship Offered,Website,Contact Email,Application Method,Portfolio Emphasis Strategy
Sanjay Mohe (Mindspace - Individual Practice),Bengaluru,Karnataka,India,Boutique,Small,Residential/Institutional,Contextual,No,Selective,Not Public,Not Public,Email via reference,Residential spatial clarity + Context response
KTA (Karanth & Thampi Architects),Bengaluru,Karnataka,India,Corporate,Large,Institutional/Infrastructure,Technical,Yes,Yes,https://www.k-t-a.in,info@k-t-a.in,Careers Page,Large campus + Technical documentation + BIM workflow
Sthala Architecture,Bengaluru,Karnataka,India,Boutique,Small,Residential,Design-Led,No,Yes,Not Public,info@sthala.in,Email,Residential project + Section refinement
Mason & Associates,Mumbai,Maharashtra,India,Corporate,Mid,Institutional/Residential,Technical,Yes,Yes,Not Public,info@masonassociates.in,Email,Institutional layout + Working drawings
SAV Architecture + Design,Ahmedabad,Gujarat,India,Boutique,Small,Residential/Institutional,Conceptual,No,Yes,Not Public,info@savarchitecture.com,Email,Concept diagrams + Residential clarity
Kapadia Associates (Ahmedabad),Ahmedabad,Gujarat,India,Corporate,Mid,Commercial/Institutional,Technical,Yes,Yes,Not Public,info@kapadiaassociates.in,Email,Commercial complex + Documentation clarity
Dilip Piramal & Associates,Mumbai,Maharashtra,India,Boutique,Small,Residential,Design-Led,No,Selective,Not Public,Not Public,Direct Contact,Residential detailing + Spatial sequencing
Sankalp Designers,Ahmedabad,Gujarat,India,Corporate,Mid,Institutional/Commercial,Technical,Yes,Yes,Not Public,info@sankalpdesigners.com,Email,Institutional campus + Structured documentation
Ravi & Varsha Architects,Chennai,Tamil Nadu,India,Boutique,Small,Residential,Contextual,No,Yes,Not Public,Not Public,Email via reference,Residential clarity + Section quality
Architecture RED,Mumbai,Maharashtra,India,Boutique,Small,Residential/Urban,Conceptual,No,Yes,Not Public,info@architecturered.com,Email,Urban housing + Concept diagrams
SJK Architects (Kochi),Kochi,Kerala,India,Boutique,Mid,Institutional/Residential,Conceptual,Partial,Yes,https://www.sjkarchitects.com,info@sjkarchitects.com,Email,Institutional concept + Section depth
VGA Architects,Chennai,Tamil Nadu,India,Corporate,Mid,Commercial/Institutional,Technical,Yes,Yes,Not Public,info@vgaarchitects.com,Email,Commercial project + Working drawings
Prabhakar Bhagwat Architects,Pune,Maharashtra,India,Boutique,Small,Residential,Contextual,No,Selective,Not Public,Not Public,Direct Contact,Spatial quality + Detail refinement
Sanjay Prakash & Associates,New Delhi,Delhi,India,Sustainable,Mid,Institutional/Sustainable,Environmental,Partial,Yes,Not Public,info@sparchitects.in,Email,Sustainable campus + Climate diagrams
Edifice Consultants (Chennai),Chennai,Tamil Nadu,India,Corporate,Large,Commercial/Institutional,Technical,Yes,Yes,https://www.edifice.co.in,careers@edifice.co.in,Careers Page,Corporate campus + BIM workflow
S.P.A Design Pvt Ltd,Mumbai,Maharashtra,India,Corporate,Mid,Commercial/Residential,Technical,Yes,Yes,Not Public,info@spadesign.in,Email,Residential tower + Technical sheets
Dilip D'Souza Architects,Mumbai,Maharashtra,India,Boutique,Small,Residential,Design-Led,No,Selective,Not Public,Not Public,Direct Contact,Material articulation + Spatial sequencing
Studio Naqshbandi,Mumbai,Maharashtra,India,Boutique,Small,Residential/Interior,Interior-Focused,No,Yes,Not Public,info@studionaqushbandi.com,Email,Interior detailing + Residential clarity
Kiran Gala & Associates,Mumbai,Maharashtra,India,Corporate,Mid,Institutional/Residential,Technical,Yes,Yes,Not Public,info@kirangala.com,Email,Institutional planning + Documentation discipline
MPS Architects,Chennai,Tamil Nadu,India,Corporate,Large,Healthcare/Institutional,Technical,Yes,Yes,Not Public,info@mpsarchitects.com,Email,Healthcare project + BIM detailing
Suresh Goel & Associates,New Delhi,Delhi,India,Corporate,Mid,Commercial/Institutional,Technical,Yes,Yes,Not Public,info@sgaindia.com,Email,Commercial campus + Working drawings
Zubair Khan Architects,Hyderabad,Telangana,India,Boutique,Small,Residential,Conceptual,No,Yes,Not Public,Not Public,Direct Contact,Residential concept + Section clarity
